Order Number,Order Type,Asset Type,Fiat Type,Total Price,Price,Quantity,Exchange rate,Maker Fee,Taker Fee,Couterparty,Status,Created Time
22838241874168635392,Sell,USDT,KZT,4544.1,495,9.18,,"",0.07,Habibi_,Completed,2025-12-27 14:40:40
22838864718266413056,Buy,USDT,KZT,32845,504,65.16,,"",0.07,QuickSwap7,Completed,2025-12-29 07:55:38
22839236605875281920,Buy,USDT,KZT,22635.01,499.89,45.28,,"",0.07,Topmerchant-1,Completed,2025-12-30 08:33:23
22839316125344038912,Buy,USDT,KZT,22397.69,502.98,44.53,,"",0.07,Belek_11,Completed,2025-12-30 13:49:22
22840307772015587328,Buy,USDT,KZT,54000,510.2,105.84,,"",0.07,Represents09,Completed,2026-01-02 07:29:49
22840455818616098816,Buy,USDT,KZT,16755.97,517,32.41,,"",0.07,Mr Boonick,Completed,2026-01-02 17:18:06
22841177441852678144,Sell,USDT,KZT,4500,496.06,9.07,,"",0.07,01_tot,Completed,2026-01-04 17:05:34
22841464092897959936,Sell,USDT,KZT,19063.24,514.25,37.07,,0.03,"",Dalibay,Completed,2026-01-05 12:04:37
22841493711593222144,Sell,USDT,KZT,21900,514.25,42.58,,0.04,"",P2P-91fa3f8z,Completed,2026-01-05 14:02:19
22841499600735477760,Sell,USDT,KZT,10000,514.25,19.44,,0.01,"",P2P-a3173cgo,Completed,2026-01-05 14:25:43
22841539490767527936,Sell,USDT,KZT,22662.99,514.25,44.07,,0.04,"",P2P-f3304fnn,Completed,2026-01-05 17:04:13
22841539749450997760,Sell,USDT,KZT,5500,514.25,10.69,,0.01,"",User-87218,Completed,2026-01-05 17:05:15
22841569282791473152,Buy,USDT,KZT,49245,499.99,98.49,,"",0.07,Moneto4ka_,Completed,2026-01-05 19:02:36
22841586024272748544,Buy,USDT,KZT,4500,495,9.09,,0E-8,"",PantherII,Completed,2026-01-05 20:09:08
22841588151744352256,Buy,USDT,KZT,8214,495,16.59,,0.01,"",Crypto_Swarovski,Completed,2026-01-05 20:17:35
22841588508328501248,Buy,USDT,KZT,12340.35,495,24.93,,0.02,"",OzgurButAlive,Completed,2026-01-05 20:19:00
22841597231619284992,Buy,USDT,KZT,5350.95,495,10.81,,0.01,"",btc-13k,Completed,2026-01-05 20:53:40
22842098989761003520,Buy,USDT,KZT,10000,495,20.2,,0.02,"",Ansar_ist,Completed,2026-01-07 06:07:28
22842100816716550144,Buy,USDT,KZT,7142.85,495,14.43,,0.01,"",ai767,Completed,2026-01-07 06:14:44
22842101314818359296,Buy,USDT,KZT,9684.94,495,19.56,,0.01,"",Bernardine Wheelock p4N4,Completed,2026-01-07 06:16:43
22842101351594283008,Buy,USDT,KZT,6551.68,495,13.23,,0.01,"",User-cfbc8,Completed,2026-01-07 06:16:52
22842288823000408064,Buy,USDT,KZT,25025.7,510,49.07,,"",0.07,Topmerchant-1,Completed,2026-01-07 18:41:48
22842993415561183232,Buy,USDT,KZT,5399.42,494,10.93,,0.01,"",P2P-5d803bzg,Completed,2026-01-09 17:21:36
22842994243439972352,Buy,USDT,KZT,24665.42,494,49.93,,0.04,"",kz_cash_dealer,Completed,2026-01-09 17:24:54
22842994475881705472,Buy,USDT,KZT,4500,494,9.1,,0E-8,"",Black_System,Completed,2026-01-09 17:25:49
22842995054497107968,Buy,USDT,KZT,15279.42,494,30.93,,0.03,"",User-a6077,Completed,2026-01-09 17:28:07
22842998959302942720,Buy,USDT,KZT,5377,494,10.88,,0.01,"",Crypto_Swarovski,Completed,2026-01-09 17:43:38
22843291966064889856,Buy,USDT,KZT,14726.14,494,29.81,,0.02,"",User-94545,Completed,2026-01-10 13:07:56
22843961797175193600,Sell,USDT,KZT,22000,512,42.96,,0.04,"",P2P-cdbc3aba,Completed,2026-01-12 09:29:36
22843973478896709632,Sell,USDT,KZT,16624.64,512,32.47,,0.03,"",Dalibay,Completed,2026-01-12 10:16:01
22843978901655957504,Sell,USDT,KZT,6200,512,12.1,,0.01,"",P2P-b25fc7pc,Completed,2026-01-12 10:37:34
22843986504776458240,Sell,USDT,KZT,21000,512,41.01,,0.04,"",au667,Completed,2026-01-12 11:07:47
22843987302754541568,Sell,USDT,KZT,17500,512,34.17,,0.03,"",au667,Completed,2026-01-12 11:10:57
22843988388757938176,Sell,USDT,KZT,4500,512,8.78,,0E-8,"",User-a95bd,Completed,2026-01-12 11:15:16
22844027668576907264,Buy,USDT,KZT,4500,490,9.18,,0E-8,"",Crypto_Swarovski,Completed,2026-01-12 13:51:21
22844056248615661568,Buy,USDT,KZT,5500,491,11.2,,0.01,"",Crypto_Swarovski,Completed,2026-01-12 15:44:55
22844063787390029824,Buy,USDT,KZT,4500,491,9.16,,0E-8,"",Dosimbek06,Completed,2026-01-12 16:14:53
22844064464214970368,Buy,USDT,KZT,4500,491,9.16,,0E-8,"",Dosimbek06,Completed,2026-01-12 16:17:34
22844066822015541248,Buy,USDT,KZT,4875.63,491,9.93,,0E-8,"",Era_007,Completed,2026-01-12 16:26:56
22844067823632310272,Buy,USDT,KZT,4500,491,9.16,,0E-8,"",Dosimbek06,Completed,2026-01-12 16:30:55
22844067831563739136,Buy,USDT,KZT,4900,491,9.97,,0E-8,"",Elizabeth Gruenewald uU27,Completed,2026-01-12 16:30:57
22844079813473648640,Buy,USDT,KZT,50000,491,101.83,,0.1,"",User-84737,Completed,2026-01-12 17:18:34
22844500721975078912,Sell,USDT,KZT,4506,514,8.76,,0E-8,"",User-1e80a,Completed,2026-01-13 21:11:06
22844642331215056896,Sell,USDT,KZT,4500,514,8.75,,0E-8,"",User-e2c0b,Completed,2026-01-14 06:33:48
22844646021518065664,Sell,USDT,KZT,5000,514,9.72,,0E-8,"",TAXO_88,Completed,2026-01-14 06:48:28
22844647062054645760,Sell,USDT,KZT,7000,514,13.61,,0.01,"",Pav_Ber,Completed,2026-01-14 06:52:36
22844665359975092224,Sell,USDT,KZT,4500,514,8.75,,0E-8,"",User-490e1,Completed,2026-01-14 08:05:19
22844670958418644992,Sell,USDT,KZT,4500,514,8.75,,0E-8,"",P2P-4f5221iy,Completed,2026-01-14 08:27:33
22844697450225827840,Sell,USDT,KZT,10000,514,19.45,,0.01,"",User-26c69,Completed,2026-01-14 10:12:50
22844699427437273088,Sell,USDT,KZT,6500,514,12.64,,0.01,"",User-8f93b,Completed,2026-01-14 10:20:41
22844704426879021056,Sell,USDT,KZT,15969.98,514,31.07,,0.03,"",Obmen04tudasuda,Completed,2026-01-14 10:40:33
22844706241666281472,Sell,USDT,KZT,18000,514,35.01,,0.03,"",User-0a636,Completed,2026-01-14 10:47:46
22844707039298617344,Sell,USDT,KZT,5000,510,9.8,,0E-8,"",User-375c1,Completed,2026-01-14 10:50:56
22844726228299788288,Buy,USDT,KZT,30000,492,60.97,,0.06,"",User-30a44,Completed,2026-01-14 12:07:11
22844727884333469696,Buy,USDT,KZT,28422.84,492,57.77,,0.05,"",User-de2bb,Completed,2026-01-14 12:13:46
22844730222862667776,Buy,USDT,KZT,15000,492,30.48,,0.03,"",User-b2cc5,Completed,2026-01-14 12:23:03
22844734423358193664,Buy,USDT,KZT,11200,495,22.62,,0.02,"",Miele8,Completed,2026-01-14 12:39:45
22845175044240191488,Sell,USDT,KZT,7200,516,13.95,,0.01,"",User-88bb1,Completed,2026-01-15 17:50:37
22845192107668819968,Sell,USDT,KZT,26352.12,516,51.07,,0.05,"",User-50caa,Completed,2026-01-15 18:58:25
22845195913376882688,Sell,USDT,KZT,8000,516,15.5,,0.01,"",P2P-319d2e2x,Completed,2026-01-15 19:13:32
22845205008577376256,Sell,USDT,KZT,20000,516,38.75,,0.03,"",CRYPTOETH11,Completed,2026-01-15 19:49:41
22845206386753822720,Sell,USDT,KZT,5196.12,516,10.07,,0.01,"",SmileKun,Completed,2026-01-15 19:55:09
22845207377507622912,Sell,USDT,KZT,17580.12,516,34.07,,0.03,"",User-2c487,Completed,2026-01-15 19:59:06
22845239837646614528,Sell,USDT,KZT,9208,507,18.16,,0.01,"",Sober300,Completed,2026-01-15 22:08:05
22845341526006697984,Buy,USDT,KZT,24465.7,490,49.93,,0.04,"",wdsspartan,Completed,2026-01-16 04:52:09
22845341775659175936,Buy,USDT,KZT,13000,490,26.53,,0.02,"",Miele8,Completed,2026-01-16 04:53:09
22845342571270139904,Buy,USDT,KZT,9000,490,18.36,,0.01,"",P2P-9cc569ij,Completed,2026-01-16 04:56:18
22845345704634519552,Buy,USDT,KZT,5000,490,10.2,,0.01,"",ProfitIsPossible,Completed,2026-01-16 05:08:46
22845349476590489600,Buy,USDT,KZT,7276.5,490,14.85,,0.01,"",anonymous road,Completed,2026-01-16 05:23:45
22845349909240918016,Buy,USDT,KZT,5649.7,490,11.53,,0.01,"",Ayan31,Completed,2026-01-16 05:25:28
22845350835501027328,Buy,USDT,KZT,12313.7,490,25.13,,0.02,"",RUSLAN090901,Completed,2026-01-16 05:29:09
22845354369408606208,Buy,USDT,KZT,7000,490,14.28,,0.01,"",User-53d4b,Completed,2026-01-16 05:43:11
22845718533404078080,Sell,USDT,KZT,5000,517,9.67,,0E-8,"",User-64732,Completed,2026-01-17 05:50:15
22845721620456689664,Sell,USDT,KZT,15000,517,29.01,,0.02,"",ILYADIN-P2P-EXCHANGE,Completed,2026-01-17 06:02:31
22845725096473608192,Sell,USDT,KZT,4500,517,8.7,,0E-8,"",User-64732,Completed,2026-01-17 06:16:20
22845725564671062016,Sell,USDT,KZT,46500,517,89.94,,0.08,"",korefanskiy,Completed,2026-01-17 06:18:11
22846055624263741440,Sell,USDT,KZT,5210,514,10.13,,0.01,"",User-7df09,Completed,2026-01-18 04:09:43
